decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,parallel_workers,parallel_backend,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
parallel,144,0.0001,12,1000,0,200,10,3,9,3,False,4,process,7.198579667019658,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.0001,12,1000,0,200,10,3,9,3,False,4,process,44.390843875007704,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.0002,12,1000,1,200,10,3,9,3,False,4,process,7.43318337504752,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.0002,12,1000,1,200,10,3,9,3,False,4,process,45.40872891701292,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.0005,12,1000,2,200,10,3,9,3,False,4,process,8.696351458027493,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.0005,12,1000,2,200,10,3,9,3,False,4,process,46.21882750000805,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.001,12,1000,3,200,10,3,9,3,False,4,process,11.07185229100287,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.001,12,1000,3,200,10,3,9,3,False,4,process,46.80633041600231,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.0015,12,1000,0,200,10,3,9,3,False,4,process,16.338058250024915,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.0015,12,1000,0,200,10,3,9,3,False,4,process,49.24163075000979,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.002,12,1000,4,200,10,3,9,3,False,4,process,19.09535329201026,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.002,12,1000,4,200,10,3,9,3,False,4,process,51.23995750001632,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.0025,12,1000,1,200,10,3,9,3,False,4,process,24.596514167031273,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.0025,12,1000,1,200,10,3,9,3,False,4,process,53.693700124975294,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.003,12,1000,0,200,10,3,9,3,False,4,process,29.25530829199124,0,2,0.002,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.003,12,1000,0,200,10,3,9,3,False,4,process,57.810644207987934,0,3,0.003,13,8784,"{""sliding_width"": 3}"
parallel,144,0.0035,12,1000,2,200,10,3,9,3,False,4,process,40.84885750000831,0,5,0.005,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.0035,12,1000,2,200,10,3,9,3,False,4,process,63.64013829198666,0,7,0.007,13,8784,"{""sliding_width"": 3}"
parallel,144,0.004,12,1000,1,200,10,3,9,3,False,4,process,46.56815879204078,0,19,0.019,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.004,12,1000,1,200,10,3,9,3,False,4,process,69.0838528330205,0,23,0.023,13,8784,"{""sliding_width"": 3}"
parallel,144,0.0045,12,1000,3,200,10,3,9,3,False,4,process,58.40613741701236,0,22,0.022,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.0045,12,1000,3,200,10,3,9,3,False,4,process,76.90564412501408,0,62,0.062,13,8784,"{""sliding_width"": 3}"
parallel,144,0.005,12,1000,2,200,10,3,9,3,False,4,process,69.43891487503424,0,55,0.055,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s5"", ""s1-s9"", ""s5-s13"", ""s9-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 9, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
sliding,144,0.005,12,1000,2,200,10,3,9,3,False,4,process,82.4760485830484,0,107,0.107,13,8784,"{""sliding_width"": 3}"
